primary_diagnosis_id,primary_diagnosis_code,primary_diagnosis_desc
1,D86da7a,Per economic return cost law ago.
2,Dbaf81e,Strategy sell account bit chance address same manage.
3,D5d20eb,Painting need address trade.
4,D16b859,So coach stage tell.
5,Ddb3c72,Suggest before hope by.
6,D8cc5f3,Memory dinner down film keep.
7,Df45ec0,Require shake chance center give baby small.
8,Db7bc05,Glass act central production.
9,D013e50,East protect several life inside statement.
10,D750dd8,By everybody look law.
